constant,group,accuracy_mean,accuracy_sd,ce_mean,ce_sd
cbrt2,unseen,0.10048822899946495,0.0031919327981146887,2.3074129205645564,0.0026677574748163796
e,seen,0.09794676297485287,0.0026012631724310303,2.306320468010655,0.0016637830003605261
iid,iid,0.10102327447833066,0.0007574071463955426,2.3059439457566295,0.000838905329111537
ln2,unseen,0.10232744783306581,0.0007234252157832981,2.305079223894065,0.0011615235462941694
ln3,unseen,0.098615569823435,0.0008571432328769652,2.3058181607576533,0.000358142441226896
phi,unseen,0.0981139646869984,0.004604942783919942,2.3069096825988997,0.0020943663182879588
pi,seen,0.09998662386302837,0.0022817980349427456,2.3056432194350047,0.0003872612965612491
sqrt2,seen,0.10085607276618513,0.0038336986322402306,2.3057285429259045,0.0018584654736805346
sqrt3,seen,0.09848180845371857,0.0023081104770916834,2.3069614759417636,0.0010190497867649919
sqrt5,unseen,0.09985286249331193,0.0026850325262367334,2.306785922308157,0.0010270478207875502
zeta3,unseen,0.09988630283574103,0.0002524690487985158,2.3061544011148176,0.0008638504072093128
