model,constant,group,accuracy,ce_nats,perplexity
n-gram(0),pi,seen,0.0994,2.3026027487801497,10.000176559419684
n-gram(0),e,seen,0.0998,2.302555164092885,9.999700715467045
n-gram(0),sqrt2,seen,0.1038,2.3025958534929454,10.00010760556794
n-gram(0),sqrt3,seen,0.1055,2.3024610469057514,9.998759616051036
n-gram(0),sqrt5,unseen,0.0995,2.3026178468686287,10.00032754410997
n-gram(0),cbrt2,unseen,0.099,2.3026852228182384,10.001001348373508
n-gram(0),phi,unseen,0.0979,2.3026974680471155,10.001123813673827
n-gram(0),ln2,unseen,0.1012,2.3024181955045258,9.998331164370914
n-gram(0),ln3,unseen,0.1011,2.3024906136475374,9.999055251165245
n-gram(0),zeta3,unseen,0.0973,2.302855653100104,10.002705967107449
n-gram(0),iid,iid,0.1015,2.3025249203570017,9.999398291732929
