model,seed,constant,group,accuracy,ce_nats,perplexity,acc_minus_10pct,ce_minus_ln10
TinyTCN,11,pi,seen,0.10252808988764045,2.3059092318074086,10.033296698897786,0.0025280898876404445,0.003324138813362687
TinyTCN,11,e,seen,0.10092295345104334,2.3082406180245534,10.056715477034947,0.0009229534510433318,0.00565552503050748
TinyTCN,11,sqrt2,seen,0.09921749598715891,2.3077715388461826,10.051999187444972,-0.0007825040128410926,0.0051864458521366785
TinyTCN,11,sqrt3,seen,0.09841492776886035,2.308138141662696,10.05568495422364,-0.001585072231139656,0.005553048668649918
TinyTCN,11,sqrt5,unseen,0.0976123595505618,2.307803917849619,10.052324666430518,-0.0023876404494382053,0.005218824855572901
TinyTCN,11,cbrt2,unseen,0.09680979133226324,2.3102855406833114,10.0773017238541,-0.0031902086677367686,0.007700447689265477
TinyTCN,11,phi,unseen,0.09430176565008026,2.3092681737810996,10.067054624030595,-0.005698234349919742,0.006683080787053708
TinyTCN,11,ln2,unseen,0.10212680577849118,2.3063788008345454,10.038009130587056,0.00212680577849117,0.003793707840499483
TinyTCN,11,ln3,unseen,0.09871589085072231,2.3058546626548706,10.032749205338032,-0.001284109149277693,0.0032695696608247005
TinyTCN,11,zeta3,unseen,0.09991974317817015,2.307086142452724,10.045111943970383,-8.025682182985494e-05,0.004501049458677908
TinyTCN,11,iid,iid,0.10182584269662921,2.3068711478293036,10.042952531050178,0.0018258426966292068,0.00428605483525768
TinyTCN,29,pi,seen,0.0981139646869984,2.305821499893409,10.03241649718612,-0.001886035313001605,0.003236406899362887
TinyTCN,29,e,seen,0.09610754414125201,2.3053061544990845,10.02724766953051,-0.0038924558587479924,0.002721061505038591
TinyTCN,29,sqrt2,seen,0.10523675762439808,2.304138257071065,10.015543708610412,0.00523675762439807,0.001553164077018998
TinyTCN,29,sqrt3,seen,0.10082263242375603,2.30638061327498,10.038027323897174,0.0008226324237560201,0.003795520280934106
TinyTCN,29,sqrt5,unseen,0.09911717495987159,2.306803793623972,10.042276118743127,-0.0008828250401284182,0.004218700629925909
TinyTCN,29,cbrt2,unseen,0.10212680577849118,2.306939922596057,10.043643256519987,0.00212680577849117,0.004354829602011279
TinyTCN,29,phi,unseen,0.09680979133226324,2.3061935890161016,10.036150144820805,-0.0031902086677367686,0.003608496022055707
TinyTCN,29,ln2,unseen,0.10313001605136436,2.3047165970167036,10.021337772922314,0.0031300160513643566,0.0021315040226577153
TinyTCN,29,ln3,unseen,0.09771268057784911,2.306156654419141,10.035779470505569,-0.0022873194221508936,0.003571561425095293
TinyTCN,29,zeta3,unseen,0.09961878009630819,2.30538009717032,10.027989138421095,-0.0003812199036918179,0.0027950041762743183
TinyTCN,29,iid,iid,0.10032102728731943,2.305723211738501,10.031430477937144,0.00032102728731941976,0.0031381187444550207
TinyTCN,47,pi,seen,0.09931781701444622,2.305198926604196,10.02617252651507,-0.0006821829855537809,0.002613833610149996
TinyTCN,47,e,seen,0.09680979133226324,2.305414631508327,10.028335454367388,-0.0031902086677367686,0.002829538514280916
TinyTCN,47,sqrt2,seen,0.0981139646869984,2.305275832860466,10.026943631559822,-0.001886035313001605,0.002690739866419989
TinyTCN,47,sqrt3,seen,0.09620786516853932,2.3063656728876154,10.037877353000892,-0.0037921348314606806,0.0037805798935695023
TinyTCN,47,sqrt5,unseen,0.10282905296950241,2.3057500554508805,10.03169976238593,0.0028290529695024075,0.003164962456834619
TinyTCN,47,cbrt2,unseen,0.10252808988764045,2.3050132984143006,10.024311558986756,0.0025280898876404445,0.002428205420254681
TinyTCN,47,phi,unseen,0.10323033707865169,2.3052672849994984,10.026857923006045,0.003230337078651682,0.0026821920054524995
TinyTCN,47,ln2,unseen,0.1017255216693419,2.3041422738309465,10.01558393872537,0.001725521669341895,0.0015571808369005957
TinyTCN,47,ln3,unseen,0.09941813804173355,2.305443165198949,10.028621603871132,-0.0005818619582664553,0.002858072204903195
TinyTCN,47,zeta3,unseen,0.10012038523274479,2.3059969637214084,10.034176977834623,0.00012038523274478241,0.003411870727362487
TinyTCN,47,iid,iid,0.10092295345104334,2.305237477702084,10.026559053924064,0.0009229534510433318,0.0026523847080381913
